cod_tienda,anio,pasillo,rack,venta
CONCE,2026,018,018-2-08,3436674.789915967
CONCE,2026,018,018-2-09,2243874.7899159663
CONCE,2026,018,018-2-10,827168.0672268907
CONCE,2026,019,019-1-01,733835.2941176471
CONCE,2026,019,019-1-02,297118.487394958
CONCE,2026,019,019-1-03,968236.1344537816
CONCE,2026,019,019-1-04,625600.0
CONCE,2026,019,019-1-05,536905.8823529412
CONCE,2026,019,019-1-06,340326.0504201681
CONCE,2026,019,019-1-07,591157.142857143
CONCE,2026,019,019-1-08,1290262.1848739497
CONCE,2026,019,019-1-09,2002614.285714286
CONCE,2026,019,019-1-10,794360.5042016808
CONCE,2026,019,019-2-01,393798.31932773115
CONCE,2026,019,019-2-02,151611.76470588235
CONCE,2026,019,019-2-03,155603.3613445378
CONCE,2026,019,019-2-04,1596985.7142857143
CONCE,2026,019,019-2-06,1023715.1260504202
CONCE,2026,019,019-2-07,518440.3361344538
CONCE,2026,019,019-2-08,4764877.31092437
CONCE,2026,019,019-2-09,5640650.420168067
CONCE,2026,020,020-1-01,8175509.243697479
CONCE,2026,020,020-1-02,12776227.731092438
CONCE,2026,020,020-1-03,21904010.084033616
CONCE,2026,020,020-1-04,28114108.403361343
CONCE,2026,020,020-1-05,5590231.9327731095
CONCE,2026,020,020-2-01,18899.159663865546
CONCE,2026,020,020-2-02,712112.6050420168
CONCE,2026,020,020-2-04,16075.63025210084
CONCE,2026,020,020-2-05,286782.3529411765
CONCE,2026,020,020-2-06,331697.47899159667
CONCE,2026,020,020-2-07,778547.0588235294
